Altium Designer Pick and Place Locations
D:\Lime Micro Systems (nuo 2023-05-03)\projektai\LimeFEA-mPCIe\hardware\1v0\Project Outputs\Pick Place\Pick Place for LimeFEA-mPCIe_1v0.txt

========================================================================================================================
File Design Information:

Date:       10-04-24
Time:       13:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                              Layer       Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                    
X17        "Header 2X1"                         TopLayer    Header1x2_TH_LOCKING               13.3350      19.0085      90       ""                             
C19B       100pF                                TopLayer    C0603-PHILLIPS                     49.6000      56.0650      270      Capacitor                      
U3B        TQP3M9018                            TopLayer    TQP3M9018_PA_QFN16                 56.0000      61.3250      270      ""                             
L6B        "220nH, 2%"                          TopLayer    RES0603                            49.2125      58.1750      360      ""                             
26B        "1uF, 10V"                           TopLayer    CAP0402                            48.4314      56.2650      90       "CAP CER 1UF 10V X5R 0402"     
U3A        TQP3M9018                            TopLayer    TQP3M9018_PA_QFN16                 89.4500      53.4750      90       ""                             
L6A        "220nH, 2%"                          TopLayer    RES0603                            96.6724      56.3626      180      ""                             
C26A       "1uF, 10V"                           TopLayer    CAP0402                            97.0000      57.6250      360      "CAP CER 1UF 10V X5R 0402"     
C3         0.1uF                                TopLayer    C0603-PHILLIPS                     16.9000      41.2250      90       Capacitor                      
U1         TPS62130RG                           TopLayer    QFN16(3x3/0/5mm)-Case485AE         19.4750      42.4750      180      IC                             
E3         "Custom PCIe Bracket XTRX"           BottomLayer Custom_PCIe_bracket_XTRX1          7.5000       9.3500       180      "CNC'ed enclosure component"   
L3         15uH                                 TopLayer    L-NRS5030                          41.4750      51.6500      90       Coil                           
L2         2.2uH                                TopLayer    L-NRS5030                          24.9000      42.8500      90       Coil                           
J2`        0                                    TopLayer    R0603-PHILLIPS                     28.1000      17.7000      90       Jumper                         
J2         TSM-103-01-T-SH                      TopLayer    Head_Male_3P_R/A_SMD               24.0000      15.7837      360      "Jumper 3 pin"                 
U2         NCP5501DT50G                         TopLayer    DPAK-3                             8.5500       49.0500      90       "IC LDO fixed Vo"              
C10        0.1uF                                TopLayer    C0603-PHILLIPS                     13.4039      53.2000      180      Capacitor                      
C9         0.1uF                                TopLayer    C0603-PHILLIPS                     10.0000      44.8000      360      Capacitor                      
X3         0734120110                           TopLayer    U_FL                               37.2000      43.0000      0        "Connector (UMCC)"             
X4         0734120110                           TopLayer    U_FL                               33.8000      43.0000      180      "Connector (UMCC)"             
R6         1k                                   TopLayer    R0603-PHILLIPS                     38.6000      31.2000      360      Resistor                       
U6B        SKY13286-359LF                       TopLayer    QFN16(4x4/0.65mm)_SQ               68.3750      53.8000      180      "IC RF SPDT Absorptive Switch" 
U6A        SKY13286-359LF                       TopLayer    QFN16(4x4/0.65mm)_SQ               77.6250      61.0000      360      "IC RF SPDT Absorptive Switch" 
U5B        SKY13286-359LF                       TopLayer    QFN16(4x4/0.65mm)_SQ               54.1500      54.7500      90       "IC RF SPDT Absorptive Switch" 
U5A        SKY13286-359LF                       TopLayer    QFN16(4x4/0.65mm)_SQ               91.8500      60.0500      270      "IC RF SPDT Absorptive Switch" 
Shield3    "Screening shield frame BMI-S-202-F" TopLayer    BMI-S-202-F                        55.0000      57.4000      0        "Screening shield frame"       
Shield2    "Screening shield frame BMI-S-202-F" TopLayer    BMI-S-202-F                        91.0000      57.4000      0        "Screening shield frame"       
LED3       LTST-C190KRKT                        TopLayer    LED-0603RD                         1.6624       41.1000      180      "LED RED"                      
